step,active_joint_pos,sde_joint_1_pos,sde_joint_2_pos,sde_joint_3_pos,sde_joint_4_pos,sde_joint_5_pos,rfe_1_x,rfe_1_y,rfe_1_z,rfe_2_x,rfe_2_y,rfe_2_z,rfe_3_x,rfe_3_y,rfe_3_z,rfe_4_x,rfe_4_y,rfe_4_z,rfe_5_x,rfe_5_y,rfe_5_z,rfe_6_x,rfe_6_y,rfe_6_z
33,-3.5231409603344876e-05,-0.0011716064000571412,0.00152472127622319,-0.00040146534410922033,0.00010499083207296646,-2.57994710300854e-05,0.0,0.0,0.5,0.11999999970029572,-6.752671175719337e-09,0.4999915189042203,0.35999985072368734,-2.1966611725833671e-07,0.4997241077891187,0.5999998403875597,-1.63584175319745e-07,0.4997945445553577,0.8399998396729853,-1.7832995847244582e-07,0.49977602441776914,1.0799998396261024,-1.7455291880487327e-07,0.49978076823460116
34,9.902823381213323e-06,-0.00131755162313243,0.001652085305124605,-0.00043499988973154467,0.00011376058370326169,-2.795444423481652e-05,0.0,0.0,0.5,0.11999999992552488,-3.366160055209708e-09,0.49999577223218855,0.3599998251506462,-2.3397903013064137e-07,0.49970613131998565,0.5999998130246584,-1.7323513020711046e-07,0.4997824233264936,0.8399998121863467,-1.8920667267075632e-07,0.49976236368226407,1.0799998121313452,-1.8511566590312318e-07,0.4997675018297214
35,3.2829873382249606e-05,-0.0014293268090778118,0.0017643354685168257,-0.0004645549266620718,0.00012148962469382328,-2.985368382548685e-05,0.0,0.0,0.5,0.11999999999411608,9.46158240084082e-10,0.5000011883384291,0.3599997948006994,-2.489305257741843e-07,0.49968735281540533,0.5999997805643188,-1.8311264358819888e-07,0.49977001754885825,0.8399997795801117,-2.004182722853928e-07,0.4997482823435314,1.0799997795155387,-1.9598555235071617e-07,0.49975384966960906
36,3.3954802565429344e-05,-0.0015075929494793893,0.0018617951683127382,-0.0004902156795663315,0.00012820025607610758,-3.150267170297345e-05,0.0,0.0,0.5,0.11999999993533195,3.136706979485498e-09,0.5000039395835565,0.35999976591092697,-2.637178258437744e-07,0.4996687805341628,0.5999997496743048,-1.9342808369475695e-07,0.49975706175206663,0.8399997485518175,-2.11909482245451e-07,0.4997338498249385,1.0799997484781718,-2.071756006844785e-07,0.4997397953984581
37,1.3667932031905301e-05,-0.0015529869727570578,0.0019447760167096658,-0.0005120642543849032,0.00013391396064163687,-3.290668833088279e-05,0.0,0.0,0.5,0.11999999993082427,3.244187540798522e-09,0.5000040745750155,0.3599997393377449,-2.783511347848788e-07,0.49965040165986624,0.5999997212578403,-2.0417876173752326e-07,0.4997435593131345,0.8399997200079238,-2.2368100599933545e-07,0.4997190652429807,1.0799997199259177,-2.1868564511776814e-07,0.49972533922448936
38,-2.7655125505728865e-05,-0.0015661217954603928,0.002013577857133089,-0.0005301796407794632,0.00013865140302082531,-3.4070812675991786e-05,0.0,0.0,0.5,0.11999999998879128,1.3058928770999897e-09,0.5000016401513239,0.3599997156484743,-2.9284028408379765e-07,0.49963220384454665,0.5999996959210314,-2.1536208750191e-07,0.49972951348527256,0.839999694557218,-2.3573352115047804e-07,0.4997039277466148,1.0799996944677395,-2.3051552595564102e-07,0.4997104813482746
39,-5.843018799917528e-05,-0.00159853343462725,0.002093407448979564,-0.0005511983707898482,0.0001441480680215156,-3.542149329700094e-05,0.0,0.0,0.5,0.11999999995411165,-2.6422893620961936e-09,0.4999966813859916,0.35999969513919133,-3.0719473268054714e-07,0.49961417520813817,0.5999996739912525,-2.269755693168792e-07,0.49971492739792356,0.8399996725292376,-2.4806767944917625e-07,0.49968843651726713,1.079999672433316,-2.426650895946308e-07,0.49969522196273347
40,-6.961681070006894e-05,-0.001664973182474901,0.00219147972085987,-0.0005770199650476895,0.0001509006794481742,-3.708078526805933e-05,0.0,0.0,0.5,0.11999999979515477,-5.582670889537407e-09,0.49999298837966655,0.35999967033181646,-3.2220935549418683e-07,0.4995953174182553,0.5999996474738312,-2.388099261318134e-07,0.4997000639000532,0.8399996458935984,-2.6073820928696566e-07,0.49967252281817853,1.0799996457899208,-2.551214425385881e-07,0.49967957726160184
41,-6.158817903775564e-05,-0.0017648320619756933,0.002307496711136995,-0.0006075658950966828,0.0001588886869591667,-3.904363681570658e-05,0.0,0.0,0.5,0.11999999970920998,-6.651488823387029e-09,0.4999916459853707,0.3599996386530072,-3.381116651896823e-07,0.49957534472772497,0.5999996136032208,-2.508052579188076e-07,0.4996849982237976,0.839999611871468,-2.7376077460671846e-07,0.4996561669760385,1.0799996117578496,-2.678808944543026e-07,0.499663551879797
42,-3.4694530345089415e-05,-0.0018975385189647627,0.0024411787171887216,-0.000642762406328158,0.00016809278246480714,-4.1305300553163715e-05,0.0,0.0,0.5,0.11999999977241377,-5.884398904155855e-09,0.4999926094208627,0.3599995994752174,-3.548922593166941e-07,0.4995542689456636,0.5999995717030696,-2.6296404223230823e-07,0.499669727257443,0.8399995697831207,-2.871347270557226e-07,0.4996393698051528,1.0799995696571554,-2.8094359801790866e-07,0.4996471456255634
